,count
"('công', 'an')",114534
"('cơ', 'quan')",80173
"('công', 'ty')",70654
"('cho', 'biết')",69415
"('việt', 'nam')",65266
"('thực', 'hiện')",64678
"('người', 'dân')",63381
"('tổ', 'chức')",54161
"('quy', 'định')",53633
"('khu', 'vực')",53618
"('điều', 'tra')",53405
"('đầu', 'tư')",52494
"('dự', 'án')",51657
"('xây', 'dựng')",51226
"('chủ', 'tịch')",49958
"('thông', 'tin')",48501
"('tiếp', 'tục')",47825
"('đối', 'với')",45798
"('lực', 'lượng')",45681
"('xử', 'lý')",44367
"('công', 'tác')",43068
"('hoạt', 'động')",42750
"('một', 'số')",42274
"('quản', 'lý')",42096
"('sử', 'dụng')",42019
"('sau', 'khi')",41959
"('địa', 'phương')",41478
"('phát', 'hiện')",41020
"('tỉ', 'đồng')",40988
"('y', 'tế')",40810
"('kiểm', 'tra')",40679
"('xảy', 'ra')",40397
"('phát', 'triển')",39448
"('thời', 'gian')",38682
"('chức', 'năng')",38571
"('yêu', 'cầu')",38183
"('liên', 'quan')",37371
"('sau', 'đó')",36152
"('bệnh', 'viện')",35509
"('bị', 'cáo')",35452
"('gia', 'đình')",35173
"('triệu', 'đồng')",34381
"('vi', 'phạm')",33260
"('trong', 'đó')",33202
"('cán', 'bộ')",32932
"('đơn', 'vị')",32572
"('có', 'thể')",32295
"('đề', 'nghị')",31809
"('hà', 'nội')",31685
"('trường', 'hợp')",30963
"('kinh', 'tế')",30764
"('chỉ', 'đạo')",30738
"('giao', 'thông')",30701
"('tuy', 'nhiên')",30696
"('cơ', 'sở')",30488
"('không', 'có')",30407
"('nhà', 'nước')",30302
"('doanh', 'nghiệp')",30141
"('hỗ', 'trợ')",29870
"('giám', 'đốc')",29662
"('xã', 'hội')",29640
"('quyết', 'định')",29263
"('trung', 'tâm')",29231
"('thủ', 'tướng')",28927
"('lãnh', 'đạo')",28807
"('chính', 'phủ')",28630
"('trước', 'đó')",28241
"('hành', 'vi')",27962
"('làm', 'việc')",27764
"('đồng', 'thời')",27169
"('tài', 'sản')",26684
"('bệnh', 'nhân')",26450
"('vụ', 'việc')",26243
"('xác', 'định')",26076
"('đã', 'có')",25655
"('chúng', 'tôi')",25308
"('trách', 'nhiệm')",25067
"('địa', 'bàn')",25010
"('phối', 'hợp')",24851
"('kết', 'quả')",24744
"('nạn', 'nhân')",24576
"('báo', 'cáo')",24485
"('thành', 'phố')",24240
"('của', 'các')",24136
"('vấn', 'đề')",23923
"('lao', 'động')",23448
"('với', 'các')",23433
"('đặc', 'biệt')",23303
"('an', 'toàn')",23124
"('tham', 'gia')",22745
"('cho', 'rằng')",22707
"('đảm', 'bảo')",22598
"('triển', 'khai')",22505
"('đã', 'được')",22241
"('các', 'cơ')",21935
"('bí', 'thư')",21893
"('quan', 'chức')",21770
"('cụ', 'thể')",21575
"('làm', 'rõ')",21549
"('pháp', 'luật')",21443
"('hiện', 'trường')",21296
"('xe', 'máy')",20774
"('ông', 'nguyễn')",20722
"('đây', 'là')",20663
"('và', 'các')",20647
"('vụ', 'án')",20305
"('bảo', 'vệ')",20298
"('tình', 'trạng')",19805
"('giải', 'quyết')",19711
"('đối', 'tượng')",19707
"('sản', 'xuất')",19673
"('nhân', 'dân')",19554
"('khó', 'khăn')",19439
