,count
"('dự', 'án')",148
"('đầu', 'tư')",98
"('địa', 'phương')",76
"('công', 'an')",73
"('việt', 'nam')",71
"('thực', 'hiện')",63
"('người', 'dân')",52
"('chủ', 'tịch')",49
"('quy', 'định')",48
"('sử', 'dụng')",45
"('công', 'tác')",45
"('cơ', 'quan')",44
"('lao', 'động')",43
"('xã', 'hội')",42
"('cho', 'biết')",42
"('thời', 'gian')",41
"('công', 'trình')",41
"('tỉ', 'đồng')",41
"('bệnh', 'viện')",41
"('hợp', 'tác')",40
"('đối', 'với')",40
"('quản', 'lý')",40
"('xây', 'dựng')",39
"('vi', 'phạm')",37
"('thông', 'tin')",36
"('tổ', 'chức')",35
"('đề', 'nghị')",34
"('triệu', 'đồng')",34
"('ubnd', 'tỉnh')",34
"('kiểm', 'tra')",32
"('công', 'ty')",32
"('một', 'số')",31
"('quốc', 'hội')",31
"('quyết', 'định')",30
"('sau', 'khi')",30
"('phát', 'triển')",30
"('hỗ', 'trợ')",29
"('thành', 'phố')",29
"('đề', 'xuất')",28
"('các', 'địa')",28
"('lãnh', 'đạo')",28
"('ủy', 'ban')",28
"('giao', 'thông')",27
"('y', 'tế')",27
"('giám', 'đốc')",27
"('doanh', 'nghiệp')",27
"('chính', 'phủ')",26
"('độ', 'c')",25
"('cá', 'nhân')",25
"('du', 'lịch')",25
