,count
và,570088
có,450653
các,443235
của,412451
công,403992
cho,335338
trong,334240
đã,325747
người,312594
được,311965
là,297795
với,274185
không,271722
đến,242877
tại,241107
để,233849
bị,225402
đồng,217722
hiện,215014
ông,209854
theo,206129
về,204969
định,195297
ngày,194043
an,193253
trên,189898
từ,189197
một,188439
bộ,185687
,184072
đó,182773
việc,182482
quan,178063
nhà,173502
nhân,172131
khi,170464
này,169736
ra,169702
số,168555
vụ,162787
ở,158273
làm,157327
vào,157246
dân,157002
cơ,150770
nước,149829
điều,146534
xe,145026
động,143472
đầu,143091
cũng,142555
thông,135306
thành,134345
hành,134030
nhiều,133865
chính,133059
năm,132919
tỉnh,130887
chủ,126872
những,126801
sau,126580
trường,126102
nam,125792
lý,124332
hợp,123755
phát,122369
tra,119637
chỉ,118986
hàng,118642
án,117288
cấp,116930
chức,116081
thời,114385
quốc,113307
trung,111972
phải,110835
nhận,110736
đường,109540
văn,108951
xã,107352
lại,107287
đi,106384
tư,105597
đang,105319
hội,105283
thực,104810
thì,104717
tiếp,104240
gia,103923
do,103709
nguyễn,103142
bệnh,103028
sẽ,102742
tế,101020
qua,100319
biết,100258
thể,99777
phòng,99711
báo,98657
bình,98379
cùng,98156
dự,97419
sự,96850
còn,96355
2,95644
khu,94563
anh,92969
tuổi,92817
nhưng,92702
phương,92626
cao,91286
phạm,91046
lượng,90730
thị,89913
trước,89783
như,89674
sở,88812
đối,88447
ban,87786
hơn,87749
quy,87693
địa,87687
thanh,87487
giá,87184
trình,86293
tiền,85734
đề,83915
tài,83497
việt,82552
giao,82327
sản,81780
nên,81214
lực,80951
cáo,80852
cầu,80528
giờ,80409
viên,80161
kiểm,79705
tin,78535
dụng,78527
tác,77890
bảo,77412
tổ,76874
liên,76822
bà,75818
nhất,74665
tphcm,73841
đại,73653
nghị,73138
toàn,72621
khoảng,72464
kết,72408
pháp,72258
quyết,72189
ty,71111
độ,70802
khai,70642
năng,70437
tục,70062
nay,69936
nội,69488
đất,69457
mới,68881
dịch,68838
vực,67674
tôi,67418
vi,67075
điểm,66944
kinh,66942
đạo,66745
thu,66716
xử,65894
tâm,65767
tổng,65087
3,64877
con,64865
tháng,64709
hình,64608
1,64596
nghiệp,64366
tăng,64248
triển,64161
lên,63772
cả,63657
chưa,63448
triệu,63310
xuất,63235
luật,62954
ubnd,62561
viện,62492
nhiệm,62407
thủ,62279
sinh,62020
khách,61894
nói,61232
đưa,60335
cách,59970
trị,59213
hà,59112
đây,58485
giải,58377
thương,58302
nguyên,58263
hai,58234
máy,58105
trưởng,58022
điện,57439
xây,57031
quả,56933
nạn,56932
tình,56843
biển,56687
ngoài,56206
chuyển,55980
vị,55834
tàu,55724
rất,55715
cần,55310
cứu,54993
học,54983
tịch,54309
dựng,54289
doanh,54040
y,53924
sát,53534
ý,53045
đơn,52844
minh,52781
mạnh,52655
thường,52599
khác,51945
mà,51933
bản,51233
vì,51130
vẫn,51022
quyền,51006
trọng,50579
đình,50268
hoạt,49768
mặt,48760
đoàn,48684
hóa,48585
tỉ,48387
tự,48289
cảnh,48261
giám,48252
xác,47827
gần,47785
sử,47776
kiến,47719
quản,47630
đông,47377
gian,47241
bắt,47135
ủy,47128
lớn,47016
bán,46989
tính,46816
hải,46562
phó,46006
sáng,45268
xét,45129
tập,45009
hồ,44707
tới,44595
thế,44587
huyện,44302
chị,44299
giữ,43687
yêu,43633
tham,43445
gây,43171
cá,43078
tiến,42776
hệ,42426
hiệu,42236
vùng,42162
chế,42160
rõ,42030
hộ,41880
bằng,41760
bên,41721
quảng,41536
đánh,41484
thống,41330
bắc,41303
chúng,41220
mua,41195
nơi,41111
thi,40979
4,40793
hòa,40788
xảy,40766
quá,40656
lần,40496
bàn,40414
thấy,40167
phần,39929
nhiên,39904
lập,39562
chi,39264
tiêu,39221
sơn,38845
trợ,38688
chiều,38601
hướng,38447
hoàn,38262
đảng,38068
lợi,37946
lúc,37851
diện,37740
5,37479
ca,37429
chất,37351
thuộc,37325
mức,37207
tích,36911
mưa,36772
dương,36708
vấn,36284
cán,36138
ninh,35776
tuy,35555
lãnh,35533
tạo,35408
tướng,35335
đổi,35284
kỳ,35144
lê,35006
phố,34533
thức,34510
trần,34379
phục,34247
giảm,34051
nếu,33842
mình,33743
bất,33559
phủ,33462
ngân,33392
phía,33358
sĩ,33273
đức,33137
sách,33024
đốc,33007
chống,32911
đảm,32825
thiết,32759
tội,32725
thuận,32620
thêm,32566
sơ,32456
ngành,32397
phú,32352
rồi,32204
tìm,32147
10,31853
trách,31774
nhập,31750
phí,31691
nghiệm,31660
đoạn,31519
rằng,31510
tố,31508
lấy,31495
chứng,31426
đặc,31408
ngay,31212
chạy,31046
trí,30963
ký,30877
tượng,30763
trực,30710
long,30697
trả,30645
lao,30624
lưu,30622
khó,30588
6,30536
vừa,30528
vận,30502
đều,30426
chí,30414
cục,30360
ứng,30188
thư,30182
em,30145
biên,30112
hỗ,29968
giới,29915
nhóm,29895
trạng,29886
hoạch,29816
thứ,29712
sống,29574
đội,29510
phép,29471
tuyến,29451
ảnh,29451
dẫn,29330
tử,29240
cửa,29178
biểu,29073
biệt,29040
quân,28847
trở,28839
dùng,28828
hạn,28762
chiến,28757
phối,28689
nguồn,28649
vệ,28629
hoàng,28624
cuộc,28482
cụ,28464
tối,28385
ngụ,28314
hay,28248
giữa,28109
xuống,28055
trang,28047
nào,27750
kế,27718
cường,27642
mang,27623
bỏ,27556
hưởng,27468
hết,27322
phẩm,27269
tây,27102
huy,27061
tp,27060
30,26852
sức,26708
tải,26688
xin,26630
cháy,26515
mỹ,26485
vậy,26456
chung,26440
giấy,26338
kiện,26274
khoa,26226
hoặc,26059
gồm,26029
thẩm,25902
nẵng,25735
tân,25524
covid19,25468
phân,25445
hại,25388
mỗi,25370
7,25320
đúng,25213
loại,25193
đạt,25107
mở,25076
ăn,24981
dài,24960
trú,24948
bay,24847
đa,24792
đủ,24765
chuyên,24450
vốn,24438
lịch,24396
ô,24384
tạm,24364
bí,24189
giang,24173
thủy,24157
vn,24062
trái,24061
phong,23919
nhanh,23815
luận,23757
nghiêm,23597
tai,23543
thái,23528
soát,23486
lời,23457
cộng,23445
danh,23411
sông,23395
căn,23370
mất,23334
du,23243
tiện,23188
cư,23163
vật,23122
xuân,23111
biến,23059
cố,22989
khẩu,22888
khiến,22865
liệu,22794
tô,22749
ghi,22665
cây,22624
thân,22572
bố,22374
